Photon Energy (eV),Absorption Intensity
0.0685,0.017627578
0.137,0.071870937
0.2055,0.165695935
0.274,0.296783241
0.3425,0.432208972
0.411,0.499778347
0.4795,0.512656798
0.5481,0.526335046
0.6166,0.540236428
0.6851,0.546082524
0.7536,0.545287075
0.8221,0.54174398
0.8906,0.547303392
0.9591,0.566669655
1.0276,0.584865509
1.0961,0.592077235
1.1646,0.593677602
1.2331,0.595636704
1.3016,0.597312263
1.3701,0.592616013
1.4386,0.585330305
1.5071,0.58008666
1.5757,0.576526793
1.6442,0.5753983
1.7127,0.57478199
1.7812,0.573012905
1.8497,0.573118715
1.9182,0.575395972
1.9867,0.576825171
2.0552,0.573346648
2.1237,0.568719991
2.1922,0.568119406
2.2607,0.569675448
2.3292,0.572079686
2.3977,0.574968215
2.4662,0.577026352
2.5348,0.578532575
2.6033,0.578629097
2.6718,0.579601356
2.7403,0.582548033
2.8088,0.586447954
2.8773,0.590637479
2.9458,0.596342517
3.0143,0.600801697
3.0828,0.602197603
3.1513,0.603993866
3.2198,0.606479766
3.2883,0.606124073
3.3568,0.604145738
3.4253,0.601910352
3.4938,0.602160179
3.5624,0.603652565
3.6309,0.604319791
3.6994,0.607149669
3.7679,0.613584604
3.8364,0.61927765
3.9049,0.621560797
3.9734,0.622181697
4.0419,0.624299369
4.1104,0.627916694
4.1789,0.631272275
4.2474,0.634168832
4.3159,0.635869288
4.3844,0.637299259
4.4529,0.640049837
4.5214,0.642593227
4.59,0.642474824
4.6585,0.640912666
4.727,0.64255665
4.7955,0.64800556
4.864,0.652772596
4.9325,0.656158649
5.001,0.658849434
5.0695,0.660314354
5.138,0.663008489
5.2065,0.668164349
5.275,0.67374244
5.3435,0.678646566
5.412,0.683762755
5.4805,0.690145448
5.5491,0.697099626
5.6176,0.702007496
5.6861,0.702993477
5.7546,0.70257736
5.8231,0.704896578
5.8916,0.708640016
5.9601,0.710745121
6.0286,0.711366716
6.0971,0.711995957
6.1656,0.710710236
6.2341,0.707910781
6.3026,0.70530281
6.3711,0.703440968
6.4396,0.702485361
6.5081,0.700177593
6.5767,0.69758801
6.6452,0.696748347
6.7137,0.694251819
6.7822,0.690623129
6.8507,0.68861212
6.9192,0.688821644
6.9877,0.691155543
7.0562,0.693283063
7.1247,0.695043937
7.1932,0.69822538
7.2617,0.700882527
7.3302,0.701060537
7.3987,0.699802094
7.4672,0.698677169
7.5357,0.69823251
7.6043,0.6988014
7.6728,0.699367096
7.7413,0.699839811
7.8098,0.702440179
7.8783,0.707127862
7.9468,0.712829318
8.0153,0.717813239
8.0838,0.722630754
8.1523,0.728882045
8.2208,0.73461218
8.2893,0.739176314
8.3578,0.743190011
8.4263,0.746750275
8.4948,0.749460455
8.5634,0.75214009
8.6319,0.755100986
8.7004,0.756898466
8.7689,0.756913118
8.8374,0.754802541
8.9059,0.75306339
8.9744,0.755121135
9.0429,0.758371145
9.1114,0.760328534
9.1799,0.76168371
9.2484,0.76321476
9.3169,0.764729449
9.3854,0.766107117
